id,sta,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
BOBR271,BOBR,2020.74043715847,271,-1391662.82266,5971556.52529,1750910.59784,47,940888.5726,1777625.3010,16.038931249417,103.118549065187,151.2789,179.6972
BOBR272,BOBR,2020.7431693989072,272,-1391662.83370,5971556.55435,1750910.60520,47,940888.5768,1777625.2996,16.038931236339,103.118549103971,151.3105,179.7289
BOBR273,BOBR,2020.7459016393443,273,-1391662.82990,5971556.53840,1750910.60572,47,940888.5766,1777625.3047,16.038931281844,103.118549103305,151.2949,179.7132
BOBR274,BOBR,2020.7486338797814,274,-1391662.83662,5971556.54275,1750910.60902,47,940888.5821,1777625.3063,16.038931296079,103.118549155164,151.3014,179.7197
BOBR275,BOBR,2020.7513661202186,275,-1391662.82403,5971556.53352,1750910.60200,47,940888.5720,1777625.3027,16.038931264677,103.118549060187,151.2881,179.7064
BOBR276,BOBR,2020.7540983606557,276,-1391662.82937,5971556.54900,1750910.60852,47,940888.5737,1777625.3045,16.038931280690,103.118549075967,151.3055,179.7238
BOBR279,BOBR,2020.7622950819673,279,-1391662.82783,5971556.56026,1750910.61260,47,940888.5696,1777625.3054,16.038931289621,103.118549038026,151.3168,179.7352
BOBR280,BOBR,2020.7650273224044,280,-1391662.83197,5971556.56129,1750910.60775,47,940888.5735,1777625.3002,16.038931242604,103.118549073586,151.3174,179.7357
BOBR281,BOBR,2020.7677595628415,281,-1391662.82156,5971556.54340,1750910.60500,47,940888.5673,1777625.3030,16.038931268116,103.118549016800,151.2976,179.7159
BOBR282,BOBR,2020.7704918032787,282,-1391662.83347,5971556.56007,1750910.60882,47,940888.5752,1777625.3015,16.038931254049,103.118549089816,151.3168,179.7352
BOBR283,BOBR,2020.7732240437158,283,-1391662.83125,5971556.56060,1750910.60955,47,940888.5729,1777625.3022,16.038931260380,103.118549068417,151.3171,179.7354
BOBR284,BOBR,2020.775956284153,284,-1391662.83046,5971556.54513,1750910.60680,47,940888.5756,1777625.3038,16.038931274499,103.118549094040,151.3017,179.7200
BOBR285,BOBR,2020.77868852459,285,-1391662.82614,5971556.54479,1750910.60239,47,940888.5715,1777625.2999,16.038931239507,103.118549055493,151.2992,179.7175
BOBR286,BOBR,2020.7814207650274,286,-1391662.82705,5971556.55942,1750910.60967,47,940888.5690,1777625.3028,16.038931266660,103.118549032695,151.3151,179.7334
BOBR287,BOBR,2020.7841530054645,287,-1391662.82890,5971556.56476,1750910.61094,47,940888.5696,1777625.3025,16.038931263618,103.118549038244,151.3208,179.7392
BOBR288,BOBR,2020.7868852459017,288,-1391662.82937,5971556.54981,1750910.60979,47,940888.5734,1777625.3055,16.038931289754,103.118549074217,151.3066,179.7249
BOBR289,BOBR,2020.7896174863388,289,-1391662.82739,5971556.56261,1750910.60918,47,940888.5687,1777625.3015,16.038931254455,103.118549029107,151.3180,179.7363
BOBR290,BOBR,2020.792349726776,290,-1391662.83501,5971556.55230,1750910.61046,47,940888.5784,1777625.3052,16.038931286323,103.118549120267,151.3104,179.7287
BOBR291,BOBR,2020.795081967213,291,-1391662.83507,5971556.54874,1750910.60971,47,940888.5793,1777625.3054,16.038931288400,103.118549128334,151.3068,179.7252
BOBR292,BOBR,2020.7978142076502,292,-1391662.82510,5971556.54550,1750910.60531,47,940888.5703,1777625.3025,16.038931263728,103.118549044513,151.3004,179.7187
BOBR293,BOBR,2020.8005464480875,293,-1391662.82331,5971556.55073,1750910.61158,47,940888.5673,1777625.3072,16.038931306516,103.118549017107,151.3067,179.7250
BOBR294,BOBR,2020.8032786885246,294,-1391662.83602,5971556.54568,1750910.60667,47,940888.5809,1777625.3033,16.038931268887,103.118549143487,151.3033,179.7217
BOBR295,BOBR,2020.8060109289618,295,-1391662.82891,5971556.54287,1750910.60477,47,940888.5746,1777625.3026,16.038931263312,103.118549084773,151.2986,179.7170
BOBR296,BOBR,2020.808743169399,296,-1391662.82916,5971556.55416,1750910.60846,47,940888.5723,1777625.3030,16.038931267682,103.118549063078,151.3103,179.7286
BOBR297,BOBR,2020.811475409836,297,-1391662.82926,5971556.54198,1750910.60514,47,940888.5752,1777625.3031,16.038931268420,103.118549089841,151.2980,179.7163
BOBR298,BOBR,2020.8142076502731,298,-1391662.82829,5971556.55234,1750910.60839,47,940888.5719,1777625.3035,16.038931272055,103.118549058989,151.3084,179.7267
BOBR299,BOBR,2020.8169398907103,299,-1391662.83845,5971556.54062,1750910.60527,47,940888.5844,1777625.3032,16.038931267701,103.118549176406,151.2988,179.7171
BOBR300,BOBR,2020.8196721311476,300,-1391662.83226,5971556.53700,1750910.60042,47,940888.5793,1777625.2998,16.038931237880,103.118549127699,151.2927,179.7110
